"Time","180000005F39BB21","C70000005F33D321*","950000005F4B5621","D80000005F57CE21","C00000005F361E21","910000005F3F8021","940000005F28E521","EC0000005F2A7821","CB0000005F56D921","770000005F424B21","010000005F26E421","F20000005F4CD221","070000005F3CA221","660000005F383821","0A0000005F583421","320000005F546521","F3000000377C1B21","3000000053C66A21","0F00000062475421","9C000000622C0021","620000006259D721","260000006247B421","1000000062607421","D4000000624B4C21","900000006049BA21","22000000603F7E21","150000005F49C021","7B0000005F410A21","72000000604B4421","AE00000060429121","480000005F2BCA21","E20000005F46B021","5D0000005F474021","400000005F240121","800000005F532C21","D50000005F249E21","3E00000062586E21","E0000000625A4B21","7F00000060190621","95000000604E5621","EF0000006262FD21","AD000000623DA421","380000006256C521","5000000062621421","23000000623C6021","08000000624F2C21","110000006242C821","6800000062361221","76000000625D0D21","8200000062605B21","B900000062528021","900000006260D021","C40000006229FB21","65000000625D0321","72000000622CA621","54000000624E9521","200000005F57C521","D80000005F222721","BE00000060221421","26000000602AAC21","D90000005F4C2121","F40000005F35A221","360000005F567121","890000005F5A3421","860000005F2E3821","410000005F40FD21","B40000005F3E1321","1F0000005F2CFF21","8D0000005F425321","AA0000005F26B321","4300000060332C21","89000000604AC021","020000005F55CD21","B50000005F4A6621","D80000005F3A6621*","080000005F425421","200000005F52B821","170000005F264921","920000005F3D2421","570000005F261B21","CC0000005F286321","630000005F478821","340000005F531F21","E00000005F458821","AB0000006034F021","E5000000602FB121","6E000000623CDD21","5000000062455021","530000006239FE21","91000000624EC021","BD000000603C9521","2800000060244B21","620000006263AF21*","62000000622B7121","FF00000062605721","64000000625AC921","020000006243DF21","8C0000006229E521","CD00000062516E21","BF00000062432521","A300000060470321","6100000060177921","8B000000602D8121","3100000060149821","C70000005F463A21","C50000005F52C421","FB0000005F4B5421","3A0000005F337B21","9A000000377DB021","4800000037878F21","060000006030F621","800000006042C121","710000003F558421","39000000377E8021","18000000602A6421","8F00000060264421","2E0000006260BC21","95000000624B9B21","F200000062512321","E100000062355421","01000000622A8521","740000006249F321","0E00000062609521","E100000062545021","94000000623A9321","7000000062411D21","280000005F2DE721","0E0000005F4ECD21","DC000000602FC921","E60000006044D921","D20000005F3B2021","2800000060186521","53000000602AEC21","410000005F3FEE21","470000005F2A2F21","CF00000062324B21","9E000000622B5C21","1D00000062485821*","6F000000625A1321","86000000625B1C21","F500000062623A21","FD0000006254A221","9D00000062412D21","030000006252CA21","D300000062401F21","33000000601E7121","3C00000060156E21","D80000006033CA21","2C000000604F9321","A9000000602E9021","B300000060353D21","570000005F31DD21","1D0000005F2CEC21","1A0000005F307921","550000005F3F5021","3B0000005F4EDF21","CD0000005F255321","2A0000005F2BA221","E90000005F3C0421","2300000060459521","8F00000060457221","2C0000006028C121","D3000000601BD321","2D0000005F283921","850000005F3A4321","380000005F4F5021","8F0000005F592A21","B30000005F44CD21","CD0000005F213721","BA0000005F235621","F80000005F35C821","DD0000005F521021","610000005F543921","0F0000005F3FC521","410000005F3DDC21","350000005F329E21","630000005F44A321","F10000005F38B421","100000005F577421","F80000005F3F3221","370000005F51BB21","460000005F260621","000000005F402A21","4A0000005F402721","F70000005F327B21","5300000060256B21","E1000000603D2C21","0B000000624AC721","72000000625E0021","CB0000006036B921","9C000000602CB021","100000006232D921","6B000000625A3521","9900000062622B21","C900000062353121","EF00000060272621","550000006034CE21","950000005F46E321"
2024-09-29 23:55:00,21.5,21.5,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21,21,21,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21,21,21.5,21.5,20.5,21.5,21,21.5,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21.5,21.5,21,21,21,21.5,21,21.5,21,21.5,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21,21.5,21,21.5,21,21.5,21,21,21,21.5,21.5,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21.5,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30,21.5,21.5,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21,21,21,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21,21,21,21.5,21.5,20.5,21.5,21,21.5,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21.5,21.5,21,21,21,21.5,21,21.5,21,21.5,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21,21.5,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21.5,21,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21,21.5,21,21.5,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30 00:05:00,21.5,21.5,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21,21,21,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21,21,21,21.5,21.5,20.5,21.5,21,21.5,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21.5,21.5,21,21,21,21.5,21,21.5,21,21.5,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21,21,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21.5,21.5,21.5,21.5,21.5,21,21.5,21,21.5,21,21.5,21,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30 00:10:00,21.5,21.5,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21,21,21,21.5,21,21.5,21.5,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21.5,21.5,20.5,21.5,21,21.5,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21,20.5,21,21.5,21.5,21,21,21,21.5,21,21.5,21,21.5,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21,21,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21.5,21.5,21.5,21,21.5,21,21.5,21,21.5,21,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21.5,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30 00:15:00,21.5,21.5,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21,21,21,21.5,21,21,21.5,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21.5,21.5,20.5,21.5,21,21.5,21.5,21.5,21,21,21.5,21,21.5,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21,21,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21.5,21,21.5,21,21.5,20.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21.5,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30 00:20:00,21.5,21.5,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21,21,21,21.5,21,21,21.5,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21,21,21,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21.5,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21.5,21,21,21.5,21,21,21,21,21,21,21.5,21,21.5,21,21,21.5,21,21.5,21,21.5,20.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30 00:25:00,21.5,21.5,21,21.5,21,21,21,21,21.5,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21.5,21,21,21.5,21,21,21,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21,21,21.5,21,21.5,21,21.5,20.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21.5
2024-09-30 00:30:00,21.5,21.5,21,21.5,21,21,21,21,21.5,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21.5,21,21.5,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21,21.5,21,21.5,21,21,21.5,21,21,21,21.5,20.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21,21.5,21,21,21.5,21.5,21,21,21,21,21.5
2024-09-30 00:35:00,21.5,21.5,21,21.5,21,21,21,21,21.5,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21.5,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21.5,21,21,21.5,21,21,21,21,21,21,21.5,21,21.5,21,21,21.5,21,21,21,21.5,20.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 00:40:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21.5,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21,21.5,21,21.5,21,21,21.5,21,21,21,21.5,20.5,21,21,21.5,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21.5,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 00:45:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21.5,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 00:50:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 00:55:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,20.5,21,21,21.5,21,21.5,21,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,20.5,21,20.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:00:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,20.5,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,20.5,20.5,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:05:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,20.5,20.5,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,20.5,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:10:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,21,21.5,21,21,21,21,21.5,21,21,21.5,21,20.5,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,20.5,20.5,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,20.5,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,20.5,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:15:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,20.5,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,20.5,20.5,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,20.5,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:20:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21.5,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,21,21.5,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:25:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,21,21,20.5,21,21,21.5,21,20.5,21,21,21,21,21,21.5,21,21,20.5,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:30:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:35:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21.5,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21.5,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,21,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21.5,21.5,20.5,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
2024-09-30 01:40:00,21.5,21.5,21,21.5,21,21,21,21,21,21.5,21,21.5,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21,21,21.5,21,21,21,21.5,21,21,21.5,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21.5,21,21.5,21,21,21,21,21.5,21,21,21.5,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,20.5,21,21,21.5,21,21,21,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21.5,21,21,21,21.5,21,21.5,20.5,21,21.5,21,21,21,21.5,21,21,21,21.5,21,21,21,21,21,21,21,21,21,21,21,21,21.5,21,21.5,21,21,21,21,21,20.5,21,20.5,21,21,21,21,21,21.5,21,21.5,21.5,21.5,21,21,21.5,21.5,21,21.5,21.5,21,21,21.5,21,21.5,21,21,21,21,21.5,21,21,21,21.5,21,20.5,21,21,21.5
